"Time","Subsystem #1|CTLs|Vars|Vrms_1","Subsystem #1|CTLs|Vars|Vrms_10","Subsystem #1|CTLs|Vars|Vrms_11","Subsystem #1|CTLs|Vars|Vrms_12","Subsystem #1|CTLs|Vars|Vrms_13","Subsystem #1|CTLs|Vars|Vrms_14","Subsystem #1|CTLs|Vars|Vrms_2","Subsystem #1|CTLs|Vars|Vrms_3","Subsystem #1|CTLs|Vars|Vrms_4","Subsystem #1|CTLs|Vars|Vrms_5","Subsystem #1|CTLs|Vars|Vrms_6","Subsystem #1|CTLs|Vars|Vrms_8","Subsystem #1|CTLs|Vars|Vrms_9"
0.0062,11.01249877,10.73079755,10.88287817,10.94276905,10.87684191,10.61249396,10.85523066,10.49104382,10.54543202,10.57502824,11.11367126,11.32248853,10.74402292
0.00625,11.01248247,10.73072978,10.88280886,10.94269858,10.87677188,10.61242604,10.85519347,10.49097764,10.54537897,10.57498007,11.11359974,11.32240794,10.74395524
0.0063,11.01246623,10.73066212,10.88273967,10.94262821,10.87670196,10.61235818,10.85515645,10.49091158,10.54532602,10.57493199,11.11352836,11.32232783,10.74388767
0.00635,11.01245003,10.73059458,10.88267062,10.94255799,10.87663216,10.6122904,10.85511963,10.49084569,10.5452732,10.57488401,11.11345716,11.32224824,10.74382023
0.0064,11.0124339,10.73052718,10.88260174,10.94248792,10.8765625,10.61222272,10.85508301,10.49077997,10.54522052,10.57483615,11.11338615,11.32216918,10.74375294
0.00645,11.01241783,10.73045996,10.88253304,10.94241804,10.87649303,10.61215518,10.85504662,10.49071446,10.545168,10.57478843,11.11331537,11.3220907,10.74368584
0.0065,11.01240184,10.73039294,10.88246457,10.94234837,10.87642375,10.61208778,10.85501046,10.49064918,10.54511567,10.57474086,11.11324484,11.32201281,10.74361894
0.00655,11.01238592,10.73032613,10.88239633,10.94227893,10.8763547,10.61202057,10.85497455,10.49058415,10.54506353,10.57469347,11.11317458,11.32193554,10.74355227
0.0066,11.01237009,10.73025957,10.88232836,10.94220976,10.8762859,10.61195356,10.8549389,10.49051939,10.54501162,10.57464626,11.11310462,11.32185893,10.74348586
0.00665,11.01235434,10.73019328,10.88226068,10.94214087,10.87621738,10.61188677,10.85490353,10.49045494,10.54495994,10.57459927,11.11303498,11.32178299,10.74341972
0.0067,11.01233869,10.73012728,10.88219331,10.94207229,10.87614915,10.61182023,10.85486844,10.4903908,10.54490852,10.57455249,11.11296569,11.32170777,10.74335388
0.00675,11.01232314,10.73006159,10.88212628,10.94200404,10.87608125,10.61175397,10.85483364,10.49032701,10.54485737,10.57450596,11.11289678,11.32163327,10.74328836
0.0068,11.0123077,10.72999625,10.88205962,10.94193616,10.87601369,10.611688,10.85479916,10.49026358,10.54480651,10.57445968,11.11282827,11.32155954,10.74322319
0.00685,11.01229237,10.72993127,10.88199333,10.94186866,10.87594651,10.61162236,10.854765,10.49020054,10.54475597,10.57441367,11.11276017,11.32148659,10.7431584
